278,ADOCR,NCM,Edoc Acquisition Corp.,0.401,0.000,0.000,0.401,0.600,11065,0.401,0.480,0.401,0.600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
279,ADP,NMS,"Automatic Data Processing, Inc.",167.710,0.000,0.000,164.440,169.450,3212030,167.710,166.750,103.110,182.320,169.742,154.304,1761872,2487700,NULL,427243800,4337946,1607990400
280,ADPT,NMS,Adaptive Biotechnologies Corporation,58.180,0.000,0.000,54.620,58.290,824796,58.180,57.100,15.190,71.250,60.991,48.845,857732,814414,NULL,87327821,4297645,1607990400
281,ADRE,NGM,Invesco BLDRS Emerging Markets 50 ADR Index Fund,59.690,0.000,0.000,58.800,59.970,22510,59.690,60.620,28.520,63.210,58.158,50.849,23393,29814,NULL,NULL,NULL,NULL
282,ADS,NYQ,Alliance Data Systems Corporation,70.980,0.000,0.000,67.005,71.920,1218252,70.980,70.790,20.510,108.500,71.907,57.165,1078659,1233116,NULL,46930212,3003136,1607990400
283,ADSK,NMS,"Autodesk, Inc.",281.680,0.000,0.000,274.630,283.470,1611181,281.680,284.220,125.380,321.130,301.039,258.419,1484327,2214871,NULL,219552972,2138770,1607990400
284,ADT,NYQ,ADT Inc.,9.540,0.000,0.000,8.960,9.640,4887257,9.540,9.630,3.405,17.210,8.621,8.888,4211288,6511966,NULL,150679145,17055774,1607990400
285,ADTN,NMS,"ADTRAN, Inc.",17.500,0.000,0.000,17.150,18.110,330564,17.500,17.500,4.800,18.450,15.887,12.711,316242,326542,NULL,47394173,1376181,1607990400
286,ADTX,NCM,"ADiTx Therapeutics, Inc.",3.180,0.000,0.000,3.178,3.800,2712077,3.180,3.150,1.620,9.580,2.498,2.688,3595245,22334242,NULL,9251397,443633,1607990400
287,ADUS,NMS,Addus HomeCare Corporation,113.520,0.000,0.000,111.880,115.340,59842,113.520,113.910,43.130,128.800,117.666,102.047,109162,96857,NULL,15424499,273907,1607990400
288,ADV,NMS,Advantage Solutions Inc.,10.050,0.000,0.000,9.620,10.301,571247,10.050,10.070,7.890,13.920,12.221,10.780,949808,569557,NULL,NULL,4203024,1607990400
289,ADVM,NGM,"Adverum Biotechnologies, Inc.",12.230,0.000,0.000,12.120,12.840,599201,12.230,12.270,7.360,26.980,12.358,13.057,1038955,868257,NULL,66973937,10246013,1607990400
290,ADX,NYQ,"Adams Diversified Equity Fund, Inc.",17.370,0.000,0.000,17.030,17.390,227475,17.370,17.430,10.160,17.850,17.312,16.611,212867,231483,NULL,107031385,663777,1607990400
291,ADXN,NCM,Addex Therapeutics Ltd,11.385,0.000,0.000,10.590,11.408,49066,11.385,11.050,6.190,37.520,12.379,12.050,107067,703400,NULL,2246826,1124,1607990400
292,ADXS,NCM,"Advaxis, Inc.",0.680,0.000,0.000,0.680,0.730,8557866,0.680,0.698,0.264,1.260,0.521,0.460,10762177,15262514,NULL,111891068,5947958,1607990400
293,AE,ASE,"Adams Resources & Energy, Inc.",24.250,0.000,0.000,23.850,24.848,12704,24.250,24.480,15.160,36.500,25.557,23.151,10355,13683,NULL,1886629,20641,1607990400
294,AEACU,NCM,Authentic Equity Acquisition Corp.,10.320,0.000,0.000,10.320,10.425,24264,10.320,10.350,10.300,10.580,10.410,10.410,1013840,306785,NULL,NULL,0,NULL
295,AEE,NYQ,Ameren Corporation,73.460,0.000,0.000,72.480,73.850,1744201,73.460,73.910,58.740,87.660,75.581,78.975,1638563,1892666,NULL,245842395,4405125,1607990400
296,AEF,NYQ,"Aberdeen Emerging Markets Equity Income Fund, Inc.",8.380,0.000,0.000,8.210,8.380,87204,8.380,8.400,4.420,8.780,8.346,7.197,77414,110900,NULL,NULL,17943,1607990400
297,AEG,NYQ,Aegon N.V.,4.120,0.000,0.000,4.010,4.130,3558602,4.120,4.160,1.800,4.400,4.019,3.248,2081995,2446183,NULL,1745612440,3097714,1607990400
298,AEGN,NMS,Aegion Corporation,18.780,0.000,0.000,18.370,19.140,109806,18.780,18.780,11.400,23.350,19.728,16.869,111667,87771,NULL,29961372,714737,1607990400
299,AEHL,NCM,Antelope Enterprise Holdings Limited,2.630,0.000,0.000,2.590,3.390,1151868,2.630,2.530,1.260,5.310,2.626,2.375,511854,334757,NULL,2192170,69040,1607990400
300,AEHR,NCM,Aehr Test Systems,2.420,0.000,0.000,2.240,2.461,232103,2.420,2.440,1.100,2.850,2.322,1.833,404544,437714,NULL,18215096,121846,1607990400
301,AEIS,NMS,"Advanced Energy Industries, Inc.",107.060,0.000,0.000,100.960,107.060,283781,107.060,106.950,33.380,125.550,106.395,82.784,266621,292357,NULL,37913717,1144332,1607990400
